flight_id,airline,origin,destination,departure_time,arrival_time,aircraft_type,priority_level,runway_time
FL001,British Airways,GOI,MAA,0000,0207,Boeing 777,3,0207
FL002,SpiceJet,MAA,HYD,0105,0359,Boeing 777,3,0105
FL003,IndiGo,HYD,MAA,0158,0426,Airbus A380,3,0426
FL004,British Airways,HKG,MAA,0244,1104,Airbus A320,2,1104
FL005,British Airways,MAA,SYD,0339,0928,Boeing 777,2,0339
FL006,Air India,MAA,AMD,0525,0746,Airbus A380,3,0525
FL007,Air India,DEL,MAA,0614,0924,Airbus A380,3,0924
FL008,IndiGo,HYD,MAA,0810,1111,Airbus A380,3,1111
FL009,Air India,MAA,PNQ,0843,1226,Airbus A380,3,0843
FL010,Lufthansa,MAA,FRA,0917,1918,Airbus A320,2,0917
FL666,VargAir,MAA,COK,0106,0359,Big,1,0106
